site,date,variable,value
cherwell,2009-04-22,temperature,11.814285714285715
cherwell,2009-04-23,temperature,11.771428571428572
cherwell,2009-04-24,temperature,11.728571428571428
cherwell,2009-04-25,temperature,11.685714285714285
cherwell,2009-04-26,temperature,11.642857142857142
cherwell,2009-04-27,temperature,11.6
cherwell,2009-04-28,temperature,11.8125
cherwell,2009-04-29,temperature,12.025
cherwell,2009-04-30,temperature,12.2375
cherwell,2009-05-01,temperature,12.45
cherwell,2009-05-02,temperature,12.6625
cherwell,2009-05-03,temperature,12.875
cherwell,2009-05-04,temperature,13.0875
cherwell,2009-05-05,temperature,13.3
cherwell,2009-05-06,temperature,13.5
cherwell,2009-05-07,temperature,13.700000000000001
cherwell,2009-05-08,temperature,13.9
cherwell,2009-05-09,temperature,14.1
cherwell,2009-05-10,temperature,14.3
cherwell,2009-05-11,temperature,14.5
cherwell,2009-05-12,temperature,14.314285714285715
cherwell,2009-05-13,temperature,14.128571428571428
cherwell,2009-05-14,temperature,13.942857142857143
cherwell,2009-05-15,temperature,13.757142857142856
cherwell,2009-05-16,temperature,13.571428571428571
cherwell,2009-05-17,temperature,13.385714285714286
cherwell,2009-05-18,temperature,13.2
cherwell,2009-05-19,temperature,13.725
cherwell,2009-05-20,temperature,14.25
cherwell,2009-05-21,temperature,14.774999999999999
cherwell,2009-05-22,temperature,15.299999999999999
cherwell,2009-05-23,temperature,15.825
cherwell,2009-05-24,temperature,16.349999999999998
cherwell,2009-05-25,temperature,16.875
cherwell,2009-05-26,temperature,17.4
cherwell,2009-05-27,temperature,17.73333333333333
cherwell,2009-05-28,temperature,18.066666666666666
cherwell,2009-05-29,temperature,18.4
cherwell,2009-05-30,temperature,18.73333333333333
cherwell,2009-05-31,temperature,19.066666666666666
cherwell,2009-06-01,temperature,19.4
cherwell,2009-06-02,temperature,18.814285714285713
cherwell,2009-06-03,temperature,18.228571428571428
cherwell,2009-06-04,temperature,17.642857142857142
cherwell,2009-06-05,temperature,17.057142857142857
cherwell,2009-06-06,temperature,16.47142857142857
cherwell,2009-06-07,temperature,15.885714285714286
cherwell,2009-06-08,temperature,15.3
cherwell,2009-06-09,temperature,15.771428571428572
cherwell,2009-06-10,temperature,16.242857142857144
cherwell,2009-06-11,temperature,16.714285714285715
cherwell,2009-06-12,temperature,17.185714285714287
cherwell,2009-06-13,temperature,17.65714285714286
cherwell,2009-06-14,temperature,18.12857142857143
cherwell,2009-06-15,temperature,18.6
cherwell,2009-06-16,temperature,18.45714285714286
cherwell,2009-06-17,temperature,18.314285714285717
cherwell,2009-06-18,temperature,18.171428571428574
cherwell,2009-06-19,temperature,18.02857142857143
cherwell,2009-06-20,temperature,17.885714285714286
cherwell,2009-06-21,temperature,17.742857142857144
cherwell,2009-06-22,temperature,17.6
cherwell,2009-06-23,temperature,18.171428571428574
cherwell,2009-06-24,temperature,18.742857142857144
cherwell,2009-06-25,temperature,19.314285714285717
cherwell,2009-06-26,temperature,19.885714285714286
cherwell,2009-06-27,temperature,20.45714285714286
cherwell,2009-06-28,temperature,21.02857142857143
cherwell,2009-06-29,temperature,21.6
cherwell,2009-06-30,temperature,21.400000000000002
cherwell,2009-07-01,temperature,21.2
cherwell,2009-07-02,temperature,21.0
cherwell,2009-07-03,temperature,20.8
cherwell,2009-07-04,temperature,20.6
cherwell,2009-07-05,temperature,20.4
cherwell,2009-07-06,temperature,20.2
cherwell,2009-07-07,temperature,20.014285714285712
cherwell,2009-07-08,temperature,19.82857142857143
cherwell,2009-07-09,temperature,19.642857142857142
cherwell,2009-07-10,temperature,19.457142857142856
cherwell,2009-07-11,temperature,19.27142857142857
cherwell,2009-07-12,temperature,19.085714285714285
cherwell,2009-07-13,temperature,18.9
cherwell,2009-07-14,temperature,18.814285714285713
cherwell,2009-07-15,temperature,18.728571428571428
cherwell,2009-07-16,temperature,18.642857142857142
cherwell,2009-07-17,temperature,18.557142857142857
cherwell,2009-07-18,temperature,18.47142857142857
cherwell,2009-07-19,temperature,18.385714285714286
cherwell,2009-07-20,temperature,18.3
cherwell,2009-07-21,temperature,18.228571428571428
cherwell,2009-07-22,temperature,18.15714285714286
cherwell,2009-07-23,temperature,18.085714285714285
cherwell,2009-07-24,temperature,18.014285714285716
cherwell,2009-07-25,temperature,17.942857142857143
cherwell,2009-07-26,temperature,17.871428571428574
cherwell,2009-07-27,temperature,17.8
cherwell,2009-07-28,temperature,17.8
cherwell,2009-07-29,temperature,17.8
cherwell,2009-07-30,temperature,17.8
cherwell,2009-07-31,temperature,17.8
cherwell,2009-08-01,temperature,17.8
cherwell,2009-08-02,temperature,17.8
cherwell,2009-08-03,temperature,17.8
cherwell,2009-08-04,temperature,17.8
cherwell,2009-08-05,temperature,17.95
cherwell,2009-08-06,temperature,18.1
cherwell,2009-08-07,temperature,18.25
cherwell,2009-08-08,temperature,18.4
cherwell,2009-08-09,temperature,18.55
cherwell,2009-08-10,temperature,18.7
cherwell,2009-08-11,temperature,18.771428571428572
cherwell,2009-08-12,temperature,18.84285714285714
cherwell,2009-08-13,temperature,18.914285714285715
cherwell,2009-08-14,temperature,18.985714285714284
cherwell,2009-08-15,temperature,19.057142857142857
cherwell,2009-08-16,temperature,19.128571428571426
cherwell,2009-08-17,temperature,19.2
cherwell,2009-08-18,temperature,19.07142857142857
cherwell,2009-08-19,temperature,18.942857142857143
cherwell,2009-08-20,temperature,18.814285714285713
cherwell,2009-08-21,temperature,18.685714285714287
cherwell,2009-08-22,temperature,18.557142857142857
cherwell,2009-08-23,temperature,18.42857142857143
cherwell,2009-08-24,temperature,18.3
cherwell,2009-08-25,temperature,18.07777777777778
cherwell,2009-08-26,temperature,17.855555555555558
cherwell,2009-08-27,temperature,17.633333333333333
cherwell,2009-08-28,temperature,17.41111111111111
cherwell,2009-08-29,temperature,17.18888888888889
cherwell,2009-08-30,temperature,16.96666666666667
cherwell,2009-08-31,temperature,16.744444444444447
cherwell,2009-09-01,temperature,16.522222222222222
cherwell,2009-09-02,temperature,16.3
cherwell,2009-09-03,temperature,16.22
cherwell,2009-09-04,temperature,16.14
cherwell,2009-09-05,temperature,16.060000000000002
cherwell,2009-09-06,temperature,15.98
cherwell,2009-09-07,temperature,15.9
cherwell,2009-09-08,temperature,15.9625
cherwell,2009-09-09,temperature,16.025
cherwell,2009-09-10,temperature,16.0875
cherwell,2009-09-11,temperature,16.15
cherwell,2009-09-12,temperature,16.2125
cherwell,2009-09-13,temperature,16.275
cherwell,2009-09-14,temperature,16.3375
cherwell,2009-09-15,temperature,16.4
cherwell,2009-09-16,temperature,16.485714285714284
cherwell,2009-09-17,temperature,16.57142857142857
cherwell,2009-09-18,temperature,16.657142857142855
cherwell,2009-09-19,temperature,16.742857142857144
cherwell,2009-09-20,temperature,16.82857142857143
cherwell,2009-09-21,temperature,16.914285714285715
cherwell,2009-09-22,temperature,17.0
cherwell,2009-09-23,temperature,17.02857142857143
cherwell,2009-09-24,temperature,17.057142857142857
cherwell,2009-09-25,temperature,17.085714285714285
cherwell,2009-09-26,temperature,17.114285714285714
cherwell,2009-09-27,temperature,17.142857142857142
cherwell,2009-09-28,temperature,17.17142857142857
cherwell,2009-09-29,temperature,17.2
cherwell,2009-09-30,temperature,16.766666666666666
cherwell,2009-10-01,temperature,16.333333333333332
cherwell,2009-10-02,temperature,15.899999999999999
cherwell,2009-10-03,temperature,15.466666666666667
cherwell,2009-10-04,temperature,15.033333333333333
cherwell,2009-10-05,temperature,14.6
cherwell,2009-10-06,temperature,14.5125
cherwell,2009-10-07,temperature,14.425
cherwell,2009-10-08,temperature,14.3375
cherwell,2009-10-09,temperature,14.25
cherwell,2009-10-10,temperature,14.1625
cherwell,2009-10-11,temperature,14.075
cherwell,2009-10-12,temperature,13.9875
cherwell,2009-10-13,temperature,13.9
cherwell,2009-10-14,temperature,13.528571428571428
cherwell,2009-10-15,temperature,13.157142857142858
cherwell,2009-10-16,temperature,12.785714285714286
cherwell,2009-10-17,temperature,12.414285714285715
cherwell,2009-10-18,temperature,12.042857142857143
cherwell,2009-10-19,temperature,11.671428571428573
cherwell,2009-10-20,temperature,11.3
cherwell,2009-10-21,temperature,11.771428571428572
cherwell,2009-10-22,temperature,12.242857142857144
cherwell,2009-10-23,temperature,12.714285714285715
cherwell,2009-10-24,temperature,13.185714285714285
cherwell,2009-10-25,temperature,13.657142857142857
cherwell,2009-10-26,temperature,14.128571428571428
cherwell,2009-10-27,temperature,14.6
cherwell,2009-10-28,temperature,14.4
cherwell,2009-10-29,temperature,14.2
cherwell,2009-10-30,temperature,14.0
cherwell,2009-10-31,temperature,13.799999999999999
cherwell,2009-11-01,temperature,13.6
cherwell,2009-11-02,temperature,13.399999999999999
cherwell,2009-11-03,temperature,13.2
cherwell,2009-11-04,temperature,12.842857142857142
cherwell,2009-11-05,temperature,12.485714285714286
cherwell,2009-11-06,temperature,12.128571428571428
cherwell,2009-11-07,temperature,11.77142857142857
cherwell,2009-11-08,temperature,11.414285714285713
cherwell,2009-11-09,temperature,11.057142857142857
cherwell,2009-11-10,temperature,10.7
cherwell,2009-11-11,temperature,10.542857142857143
cherwell,2009-11-12,temperature,10.385714285714284
cherwell,2009-11-13,temperature,10.228571428571428
cherwell,2009-11-14,temperature,10.071428571428571
cherwell,2009-11-15,temperature,9.914285714285715
cherwell,2009-11-16,temperature,9.757142857142856
cherwell,2009-11-17,temperature,9.6
cherwell,2009-11-18,temperature,9.642857142857142
cherwell,2009-11-19,temperature,9.685714285714285
cherwell,2009-11-20,temperature,9.728571428571428
cherwell,2009-11-21,temperature,9.771428571428572
cherwell,2009-11-22,temperature,9.814285714285715
cherwell,2009-11-23,temperature,9.857142857142858
cherwell,2009-11-24,temperature,9.9
cherwell,2009-11-25,temperature,9.428571428571429
cherwell,2009-11-26,temperature,8.957142857142857
cherwell,2009-11-27,temperature,8.485714285714286
cherwell,2009-11-28,temperature,8.014285714285714
cherwell,2009-11-29,temperature,7.542857142857143
cherwell,2009-11-30,temperature,7.071428571428571
cherwell,2009-12-01,temperature,6.6
cherwell,2009-12-02,temperature,6.742857142857143
cherwell,2009-12-03,temperature,6.885714285714285
cherwell,2009-12-04,temperature,7.0285714285714285
cherwell,2009-12-05,temperature,7.171428571428571
cherwell,2009-12-06,temperature,7.314285714285714
cherwell,2009-12-07,temperature,7.457142857142856
cherwell,2009-12-08,temperature,7.6
cherwell,2009-12-09,temperature,7.4375
cherwell,2009-12-10,temperature,7.2749999999999995
cherwell,2009-12-11,temperature,7.1125
cherwell,2009-12-12,temperature,6.949999999999999
cherwell,2009-12-13,temperature,6.7875
cherwell,2009-12-14,temperature,6.625
cherwell,2009-12-15,temperature,6.4625
cherwell,2009-12-16,temperature,6.3
cherwell,2009-12-17,temperature,6.095
cherwell,2009-12-18,temperature,5.89
cherwell,2009-12-19,temperature,5.685
cherwell,2009-12-20,temperature,5.4799999999999995
cherwell,2009-12-21,temperature,5.275
cherwell,2009-12-22,temperature,5.07
cherwell,2009-12-23,temperature,4.865
cherwell,2009-12-24,temperature,4.66
cherwell,2009-12-25,temperature,4.455
cherwell,2009-12-26,temperature,4.25
cherwell,2009-12-27,temperature,4.045
cherwell,2009-12-28,temperature,3.84
cherwell,2009-12-29,temperature,3.635
cherwell,2009-12-30,temperature,3.43
cherwell,2009-12-31,temperature,3.225
cherwell,2010-01-01,temperature,3.02
cherwell,2010-01-02,temperature,2.815
cherwell,2010-01-03,temperature,2.61
cherwell,2010-01-04,temperature,2.4050000000000002
cherwell,2010-01-05,temperature,2.2
cherwell,2010-01-06,temperature,2.2285714285714286
cherwell,2010-01-07,temperature,2.257142857142857
cherwell,2010-01-08,temperature,2.2857142857142856
cherwell,2010-01-09,temperature,2.3142857142857145
cherwell,2010-01-10,temperature,2.342857142857143
cherwell,2010-01-11,temperature,2.3714285714285714
cherwell,2010-01-12,temperature,2.4
cherwell,2010-01-13,temperature,2.814285714285714
cherwell,2010-01-14,temperature,3.2285714285714286
cherwell,2010-01-15,temperature,3.642857142857143
cherwell,2010-01-16,temperature,4.057142857142857
cherwell,2010-01-17,temperature,4.4714285714285715
cherwell,2010-01-18,temperature,4.885714285714286
cherwell,2010-01-19,temperature,5.3
cherwell,2010-01-20,temperature,5.157142857142857
cherwell,2010-01-21,temperature,5.014285714285714
cherwell,2010-01-22,temperature,4.871428571428571
cherwell,2010-01-23,temperature,4.728571428571429
cherwell,2010-01-24,temperature,4.585714285714285
cherwell,2010-01-25,temperature,4.442857142857143
cherwell,2010-01-26,temperature,4.3
cherwell,2010-01-27,temperature,4.357142857142857
cherwell,2010-01-28,temperature,4.414285714285715
cherwell,2010-01-29,temperature,4.4714285714285715
cherwell,2010-01-30,temperature,4.5285714285714285
cherwell,2010-01-31,temperature,4.585714285714285
cherwell,2010-02-01,temperature,4.642857142857143
cherwell,2010-02-02,temperature,4.7
cherwell,2010-02-03,temperature,4.771428571428571
cherwell,2010-02-04,temperature,4.842857142857143
cherwell,2010-02-05,temperature,4.914285714285715
cherwell,2010-02-06,temperature,4.985714285714286
cherwell,2010-02-07,temperature,5.057142857142857
cherwell,2010-02-08,temperature,5.128571428571429
cherwell,2010-02-09,temperature,5.2
cherwell,2010-02-10,temperature,5.214285714285714
cherwell,2010-02-11,temperature,5.228571428571429
cherwell,2010-02-12,temperature,5.242857142857143
cherwell,2010-02-13,temperature,5.257142857142857
cherwell,2010-02-14,temperature,5.271428571428571
cherwell,2010-02-15,temperature,5.285714285714286
cherwell,2010-02-16,temperature,5.3
cherwell,2010-02-17,temperature,5.157142857142857
cherwell,2010-02-18,temperature,5.014285714285714
cherwell,2010-02-19,temperature,4.871428571428571
cherwell,2010-02-20,temperature,4.728571428571429
cherwell,2010-02-21,temperature,4.585714285714285
cherwell,2010-02-22,temperature,4.442857142857143
cherwell,2010-02-23,temperature,4.3
cherwell,2010-02-24,temperature,4.642857142857142
cherwell,2010-02-25,temperature,4.985714285714286
cherwell,2010-02-26,temperature,5.328571428571428
cherwell,2010-02-27,temperature,5.671428571428572
cherwell,2010-02-28,temperature,6.014285714285714
cherwell,2010-03-01,temperature,6.357142857142858
cherwell,2010-03-02,temperature,6.7
cherwell,2010-03-03,temperature,6.6000000000000005
cherwell,2010-03-04,temperature,6.5
cherwell,2010-03-05,temperature,6.4
cherwell,2010-03-06,temperature,6.3
cherwell,2010-03-07,temperature,6.2
cherwell,2010-03-08,temperature,6.1
cherwell,2010-03-09,temperature,6.0
cherwell,2010-03-10,temperature,6.257142857142857
cherwell,2010-03-11,temperature,6.514285714285714
cherwell,2010-03-12,temperature,6.771428571428571
cherwell,2010-03-13,temperature,7.0285714285714285
cherwell,2010-03-14,temperature,7.285714285714286
cherwell,2010-03-15,temperature,7.542857142857143
cherwell,2010-03-16,temperature,7.8
cherwell,2010-03-17,temperature,8.185714285714285
cherwell,2010-03-18,temperature,8.571428571428571
cherwell,2010-03-19,temperature,8.957142857142857
cherwell,2010-03-20,temperature,9.342857142857143
cherwell,2010-03-21,temperature,9.728571428571428
cherwell,2010-03-22,temperature,10.114285714285714
cherwell,2010-03-23,temperature,10.5
cherwell,2010-03-24,temperature,10.428571428571429
cherwell,2010-03-25,temperature,10.357142857142858
cherwell,2010-03-26,temperature,10.285714285714286
cherwell,2010-03-27,temperature,10.214285714285714
cherwell,2010-03-28,temperature,10.142857142857142
cherwell,2010-03-29,temperature,10.071428571428571
cherwell,2010-03-30,temperature,10.0
cherwell,2010-03-31,temperature,9.928571428571429
cherwell,2010-04-01,temperature,9.857142857142858
cherwell,2010-04-02,temperature,9.785714285714286
cherwell,2010-04-03,temperature,9.714285714285714
cherwell,2010-04-04,temperature,9.642857142857142
cherwell,2010-04-05,temperature,9.571428571428571
cherwell,2010-04-06,temperature,9.5
cherwell,2010-04-07,temperature,9.657142857142857
cherwell,2010-04-08,temperature,9.814285714285715
cherwell,2010-04-09,temperature,9.971428571428572
cherwell,2010-04-10,temperature,10.128571428571428
cherwell,2010-04-11,temperature,10.285714285714285
cherwell,2010-04-12,temperature,10.442857142857143
cherwell,2010-04-13,temperature,10.6
cherwell,2010-04-14,temperature,10.625
cherwell,2010-04-15,temperature,10.65
cherwell,2010-04-16,temperature,10.675
cherwell,2010-04-17,temperature,10.7
cherwell,2010-04-18,temperature,10.725
cherwell,2010-04-19,temperature,10.75
cherwell,2010-04-20,temperature,10.775
cherwell,2010-04-21,temperature,10.8
cherwell,2010-04-22,temperature,11.3
cherwell,2010-04-23,temperature,11.8
cherwell,2010-04-24,temperature,12.3
cherwell,2010-04-25,temperature,12.8
cherwell,2010-04-26,temperature,13.3
cherwell,2010-04-27,temperature,13.8
cherwell,2010-04-28,temperature,13.285714285714286
cherwell,2010-04-29,temperature,12.771428571428572
cherwell,2010-04-30,temperature,12.257142857142858
cherwell,2010-05-01,temperature,11.742857142857144
cherwell,2010-05-02,temperature,11.228571428571428
cherwell,2010-05-03,temperature,10.714285714285714
cherwell,2010-05-04,temperature,10.2
cherwell,2010-05-05,temperature,10.285714285714285
cherwell,2010-05-06,temperature,10.371428571428572
cherwell,2010-05-07,temperature,10.457142857142857
cherwell,2010-05-08,temperature,10.542857142857143
cherwell,2010-05-09,temperature,10.628571428571428
cherwell,2010-05-10,temperature,10.714285714285715
cherwell,2010-05-11,temperature,10.8
cherwell,2010-05-12,temperature,11.085714285714287
cherwell,2010-05-13,temperature,11.371428571428572
cherwell,2010-05-14,temperature,11.657142857142858
cherwell,2010-05-15,temperature,11.942857142857143
cherwell,2010-05-16,temperature,12.22857142857143
cherwell,2010-05-17,temperature,12.514285714285714
cherwell,2010-05-18,temperature,12.8
cherwell,2010-05-19,temperature,13.4
cherwell,2010-05-20,temperature,14.0
cherwell,2010-05-21,temperature,14.600000000000001
cherwell,2010-05-22,temperature,15.200000000000001
cherwell,2010-05-23,temperature,15.8
cherwell,2010-05-24,temperature,16.400000000000002
cherwell,2010-05-25,temperature,17.0
cherwell,2010-05-26,temperature,17.6
cherwell,2010-05-27,temperature,17.271428571428572
cherwell,2010-05-28,temperature,16.942857142857143
cherwell,2010-05-29,temperature,16.614285714285714
cherwell,2010-05-30,temperature,16.28571428571429
cherwell,2010-05-31,temperature,15.957142857142857
cherwell,2010-06-01,temperature,15.62857142857143
cherwell,2010-06-02,temperature,15.3
cherwell,2010-06-03,temperature,15.5
cherwell,2010-06-04,temperature,15.700000000000001
cherwell,2010-06-05,temperature,15.9
cherwell,2010-06-06,temperature,16.1
cherwell,2010-06-07,temperature,16.3
cherwell,2010-06-08,temperature,16.5
cherwell,2010-06-09,temperature,16.357142857142858
cherwell,2010-06-10,temperature,16.214285714285715
cherwell,2010-06-11,temperature,16.071428571428573
cherwell,2010-06-12,temperature,15.928571428571429
cherwell,2010-06-13,temperature,15.785714285714286
cherwell,2010-06-14,temperature,15.642857142857142
cherwell,2010-06-15,temperature,15.5
cherwell,2010-06-16,temperature,15.842857142857143
cherwell,2010-06-17,temperature,16.185714285714287
cherwell,2010-06-18,temperature,16.52857142857143
cherwell,2010-06-19,temperature,16.87142857142857
cherwell,2010-06-20,temperature,17.21428571428571
cherwell,2010-06-21,temperature,17.557142857142857
cherwell,2010-06-22,temperature,17.9
cherwell,2010-06-23,temperature,18.228571428571428
cherwell,2010-06-24,temperature,18.557142857142857
cherwell,2010-06-25,temperature,18.885714285714286
cherwell,2010-06-26,temperature,19.21428571428571
cherwell,2010-06-27,temperature,19.54285714285714
cherwell,2010-06-28,temperature,19.87142857142857
cherwell,2010-06-29,temperature,20.2
cherwell,2010-06-30,temperature,19.9
cherwell,2010-07-01,temperature,19.6
cherwell,2010-07-02,temperature,19.3
cherwell,2010-07-03,temperature,19.0
cherwell,2010-07-04,temperature,18.7
cherwell,2010-07-05,temperature,18.400000000000002
cherwell,2010-07-06,temperature,18.1
cherwell,2010-07-07,temperature,18.071428571428573
cherwell,2010-07-08,temperature,18.042857142857144
cherwell,2010-07-09,temperature,18.014285714285716
cherwell,2010-07-10,temperature,17.985714285714284
cherwell,2010-07-11,temperature,17.957142857142856
cherwell,2010-07-12,temperature,17.928571428571427
cherwell,2010-07-13,temperature,17.9
cherwell,2010-07-14,temperature,18.299999999999997
cherwell,2010-07-15,temperature,18.7
cherwell,2010-07-16,temperature,19.1
cherwell,2010-07-17,temperature,19.5
cherwell,2010-07-18,temperature,19.9
cherwell,2010-07-19,temperature,20.3
cherwell,2010-07-20,temperature,20.25
cherwell,2010-07-21,temperature,20.2
cherwell,2010-07-22,temperature,20.15
cherwell,2010-07-23,temperature,20.1
cherwell,2010-07-24,temperature,20.05
cherwell,2010-07-25,temperature,20.0
cherwell,2010-07-26,temperature,19.95
cherwell,2010-07-27,temperature,19.9
cherwell,2010-07-28,temperature,19.814285714285713
cherwell,2010-07-29,temperature,19.728571428571428
cherwell,2010-07-30,temperature,19.642857142857142
cherwell,2010-07-31,temperature,19.557142857142857
cherwell,2010-08-01,temperature,19.47142857142857
cherwell,2010-08-02,temperature,19.385714285714286
cherwell,2010-08-03,temperature,19.3
cherwell,2010-08-04,temperature,18.985714285714288
cherwell,2010-08-05,temperature,18.67142857142857
cherwell,2010-08-06,temperature,18.357142857142858
cherwell,2010-08-07,temperature,18.042857142857144
cherwell,2010-08-08,temperature,17.72857142857143
cherwell,2010-08-09,temperature,17.414285714285715
cherwell,2010-08-10,temperature,17.1
cherwell,2010-08-11,temperature,17.014285714285716
cherwell,2010-08-12,temperature,16.92857142857143
cherwell,2010-08-13,temperature,16.842857142857145
cherwell,2010-08-14,temperature,16.757142857142856
cherwell,2010-08-15,temperature,16.67142857142857
cherwell,2010-08-16,temperature,16.585714285714285
cherwell,2010-08-17,temperature,16.5
cherwell,2010-08-18,temperature,16.642857142857142
cherwell,2010-08-19,temperature,16.785714285714285
cherwell,2010-08-20,temperature,16.928571428571427
cherwell,2010-08-21,temperature,17.071428571428573
cherwell,2010-08-22,temperature,17.214285714285715
cherwell,2010-08-23,temperature,17.357142857142858
cherwell,2010-08-24,temperature,17.5
cherwell,2010-08-25,temperature,17.071428571428573
cherwell,2010-08-26,temperature,16.642857142857142
cherwell,2010-08-27,temperature,16.214285714285715
cherwell,2010-08-28,temperature,15.785714285714286
cherwell,2010-08-29,temperature,15.357142857142858
cherwell,2010-08-30,temperature,14.928571428571429
cherwell,2010-08-31,temperature,14.5
cherwell,2010-09-01,temperature,14.616666666666667
cherwell,2010-09-02,temperature,14.733333333333333
cherwell,2010-09-03,temperature,14.85
cherwell,2010-09-04,temperature,14.966666666666667
cherwell,2010-09-05,temperature,15.083333333333332
cherwell,2010-09-06,temperature,15.2
cherwell,2010-09-07,temperature,15.212499999999999
cherwell,2010-09-08,temperature,15.225
cherwell,2010-09-09,temperature,15.2375
cherwell,2010-09-10,temperature,15.25
cherwell,2010-09-11,temperature,15.2625
cherwell,2010-09-12,temperature,15.275
cherwell,2010-09-13,temperature,15.287500000000001
cherwell,2010-09-14,temperature,15.3
cherwell,2010-09-15,temperature,15.014285714285714
cherwell,2010-09-16,temperature,14.72857142857143
cherwell,2010-09-17,temperature,14.442857142857143
cherwell,2010-09-18,temperature,14.157142857142858
cherwell,2010-09-19,temperature,13.871428571428572
cherwell,2010-09-20,temperature,13.585714285714287
cherwell,2010-09-21,temperature,13.3
cherwell,2010-09-22,temperature,13.171428571428573
cherwell,2010-09-23,temperature,13.042857142857143
cherwell,2010-09-24,temperature,12.914285714285715
cherwell,2010-09-25,temperature,12.785714285714286
cherwell,2010-09-26,temperature,12.657142857142858
cherwell,2010-09-27,temperature,12.528571428571428
cherwell,2010-09-28,temperature,12.4
cherwell,2010-09-29,temperature,12.557142857142857
cherwell,2010-09-30,temperature,12.714285714285715
cherwell,2010-10-01,temperature,12.871428571428572
cherwell,2010-10-02,temperature,13.028571428571428
cherwell,2010-10-03,temperature,13.185714285714285
cherwell,2010-10-04,temperature,13.342857142857143
cherwell,2010-10-05,temperature,13.5
cherwell,2010-10-06,temperature,13.342857142857143
cherwell,2010-10-07,temperature,13.185714285714285
cherwell,2010-10-08,temperature,13.028571428571428
cherwell,2010-10-09,temperature,12.871428571428572
cherwell,2010-10-10,temperature,12.714285714285715
cherwell,2010-10-11,temperature,12.557142857142857
cherwell,2010-10-12,temperature,12.4
cherwell,2010-10-13,temperature,11.971428571428572
cherwell,2010-10-14,temperature,11.542857142857143
cherwell,2010-10-15,temperature,11.114285714285714
cherwell,2010-10-16,temperature,10.685714285714287
cherwell,2010-10-17,temperature,10.257142857142858
cherwell,2010-10-18,temperature,9.82857142857143
cherwell,2010-10-19,temperature,9.4
cherwell,2010-10-20,temperature,9.085714285714285
cherwell,2010-10-21,temperature,8.771428571428572
cherwell,2010-10-22,temperature,8.457142857142857
cherwell,2010-10-23,temperature,8.142857142857142
cherwell,2010-10-24,temperature,7.828571428571429
cherwell,2010-10-25,temperature,7.514285714285714
cherwell,2010-10-26,temperature,7.2
cherwell,2010-10-27,temperature,7.7
cherwell,2010-10-28,temperature,8.2
cherwell,2010-10-29,temperature,8.7
cherwell,2010-10-30,temperature,9.2
cherwell,2010-10-31,temperature,9.7
cherwell,2010-11-01,temperature,10.2
cherwell,2010-11-02,temperature,10.7
cherwell,2010-11-03,temperature,10.328571428571427
cherwell,2010-11-04,temperature,9.957142857142857
cherwell,2010-11-05,temperature,9.585714285714285
cherwell,2010-11-06,temperature,9.214285714285714
cherwell,2010-11-07,temperature,8.842857142857142
cherwell,2010-11-08,temperature,8.471428571428572
cherwell,2010-11-09,temperature,8.1
cherwell,2010-11-10,temperature,7.742857142857143
cherwell,2010-11-11,temperature,7.385714285714285
cherwell,2010-11-12,temperature,7.0285714285714285
cherwell,2010-11-13,temperature,6.671428571428571
cherwell,2010-11-14,temperature,6.314285714285714
